Active;Active;Aktiv;Aktiv
AdditionalResistance;Additional Resistance;Zusätzlicher Widerstand;Zuesätzliche Widerstand
AllowedModifiers;Allowed Gem Types;Erlaubte Edelsteintypen;Erlaubti Edelsteitype
Apply;Apply;Anwenden;Awende
Armor;Armour;Rüstung;Rüstig
Back;Back;Zurück;Zrugg
BackToCheckpoint;Back to checkpoint;Zurück zum Kontrollpunkt;Zrugg zum Checkpoint
BackToMenu;Back to menu;Zurück zum Menu;Zrugg zum Menu
Cancel;Cancel;Abbrechen;Abbreche
CharacterInfo;Character Info;Charakter Info;Charakter Info
Chop;Chop;Hauen;Haue
Completed;Completed;Abgeschlossen;Fertig
ConfigurationSaved;Configuration was saved.;Einstellungen wurden erfolgreich gespeichert. ;Iistellige sind erfolgriich gspeicheret.
Confirm;Confirm;Bestätigen;Bestätige
Consumables;Consumables;Tränke und Nahrung;Tränk und Ässe
Cooldown;Cooldown;Abklingzeit;Abklingziit
CooldownReduction;Cooldown Reduction;Abklingzeitverringerung;Abklingziitverringering
Count;Count;Anzahl;Aazahl
Credits;Credits;Mitwirkende;Erschaffer
CreditsText;"Cendric Font:
   Tizian
too many text on one line yay way to many text this needs to be cropped so hard whatsthisverylongworditdoesn'tfitatallomglookatthisworditssoooooooooooooooooooolong and there are some other words and some more words and to conclude there is a veeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerylongword.";"Cendric Font:
   Tizian
too many text on one line yay way to many text this needs to be cropped so hard whatsthisverylongworditdoesn'tfitatallomglookatthisworditssoooooooooooooooooooolong and there are some other words and some more words and to conclude there is a veeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerylongword.";"Cendric Font:
   Tizian
too many text on one line yay way to many text this needs to be cropped so hard whatsthisverylongworditdoesn'tfitatallomglookatthisworditssoooooooooooooooooooolong and there are some other words and some more words and to conclude there is a veeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeerylongword."
Critical;Critical;Kritisch;Kritisch
CriticalHitChance;Critical Hit Chance;Chance auf kritische Treffer;Chance uf kritischi Treffer
Damage;Damage;Schaden;Schade
DamageType;Damage Type;Schadenstyp;Schadetyp
Default;Default;Standardwert;Standardwert
Delete;Delete;Löschen;Lösche
Divine;Divine;Heilig;Heilig
Documents;Documents;Schriftstücke;Dokument
Done;Done;Erfüllt;Erfüllt
Duration;Duration;Dauer;Duur
Elemental;Elemental;Elementar;Elementar
English;English;Englisch;Englisch
